tSNE_Variables_1,tSNE_Variables_2,Neuron,Indegree,Group,Biplot
-2.29268679146343,17.8261613440854,URYDL,35,none,-0.0514387958086397
-2.93249464409087,17.3683488837971,URYDR,35,none,-0.0514387958086397
-2.87431279760741,17.8574850541954,URYVL,35,none,-0.0514387958086397
-2.36481793502422,17.2643783429031,URYVR,35,none,-0.0514387958086397
11.7127057515095,-10.5102289981157,AQR,197,group3,-0.0601093088971305
-21.3003341803867,-9.79651336389581,PQR,156,group1,0.0877928987511503
-11.1997142650342,17.4030793769513,ADEL,9,none,-0.0583334739871074
-11.0916551990977,17.5578362093468,ADER,9,none,-0.0583334739871074
-9.01094048374103,18.1793452281913,PDEL,4,none,0.0840606672331002
-8.36482659923968,17.926072030848,PDER,4,none,0.0840606672331002
-11.7075861595258,20.705723911851,PHAL,14,none,0.0379860544485181
-11.7075998883229,20.705724662229,PHAR,14,none,0.0379860544485181
-5.46630105734961,18.3840878353175,PHBL,15,none,0.0362262671251218
-5.76553489606141,17.8421909443105,PHBR,15,none,0.0362262671251218
-6.82351595222067,18.2907290979552,PHCL,8,none,0.0163670598926059
-6.36699923340513,18.9347092530633,PHCR,8,none,0.0163670598926059
19.1469432772208,-22.1512253286523,SDQL,260,group2,0.0343330640293793
19.1472414944494,-22.1512748944627,SDQR,260,group2,0.0343330640293793
10.8748876176693,-22.5534404177737,URBL,210,group3,-0.0592132547473236
10.8748563261594,-22.5535103935856,URBR,210,group3,-0.0592132547473236
23.4122935692511,-23.5811952068686,DVA,280,group2,0.0380933238224799
1.32127690947342,8.04075194031121,AUAL,95,none,-0.0642419269959224
1.32120835054536,8.04048911558232,AUAR,95,none,-0.0642419269959224
6.82546774512421,13.8827739226727,AIAL,128,none,-0.0658625600303796
6.82564728741997,13.8824818293792,AIAR,128,none,-0.0658625600303796
6.57307198255161,-10.4999885764782,AIBL,201,group3,-0.0282578677062664
6.57248216226545,-10.4998233936358,AIBR,201,group3,-0.0282578677062664
