tSNE_Variables_1,tSNE_Variables_2,Neuron,Indegree,Group
6.93404650673572,12.3791416612181,IL2R,133,none
-15.1688649510703,6.67604049314908,IL2VL,82,none
-14.7554639917381,6.6358943900148,IL2VR,82,none
-8.26365959063071,18.4919542032711,OLQDL,7,none
-8.55610161574148,19.4917952563947,OLQDR,7,none
-9.00380459815285,18.8748481324791,OLQVL,7,none
-9.53330352655169,19.6573041618704,OLQVR,7,none
-6.09840789633851,4.19012054482341,OLLL,124,none
-6.09759400396496,4.19114558424002,OLLR,124,none
-10.526835537071,17.06357015878,CEPDL,2,none
-9.72117594563975,16.9919650262701,CEPDR,2,none
-9.21401714417811,16.5436818607782,CEPVL,2,none
-10.3223955814274,16.479329090034,CEPVR,2,none
11.7106878388698,-12.8727998893128,ALML,200,group3
11.7106878388698,-12.8727998893127,ALMR,200,group3
18.4515840634276,-12.0914858810916,AVM,257,group2
-24.24022933435,-15.2251952092747,PVM,134,group1
-20.9098186071627,-11.6382934578332,PLML,142,group1
-20.9097833188264,-11.6382529055805,PLMR,142,group1
-10.2527714240179,5.15797432637259,ALNL,81,none
-10.2549699028207,5.15605566075639,ALNR,81,none
-4.3611430950109,24.2901388064534,PLNL,44,none
-3.30939839392905,24.0709074507994,PLNR,44,none
-2.00073814048377,14.167858685151,FLPL,84,none
-2.00072076804883,14.1671031785513,FLPR,84,none
-16.0518622379616,-15.3537087570961,PVDL,146,group1
-16.0487881450919,-15.3536132714304,PVDR,146,group1
7.24172203330267,9.02698568343741,BAGL,140,none
7.24193475365847,9.02740352495553,BAGR,140,none
11.0844302313216,-21.3855182485514,URXL,212,group3
11.0843467669408,-21.3855834122533,URXR,212,group3
-6.0574008270432,16.6909843860564,URYDL,35,none
-5.64327439115447,16.0106113308968,URYDR,35,none
-5.52944868712044,16.544852699775,URYVL,35,none
-6.19770758874049,16.1470325694173,URYVR,35,none
12.8394512225771,-7.41120753064408,AQR,197,group3
-17.5891182798717,-16.0473041863451,PQR,154,group1
-13.8061230146255,13.6089640908848,ADEL,9,none
-13.672501899394,13.9131900322524,ADER,9,none
-10.186747733746,15.4872009148693,PDEL,4,none
-9.43801017100986,15.4817245146152,PDER,4,none
-15.1167873713351,16.0695950834515,PHAL,14,none
-15.1167547689928,16.0692231509318,PHAR,14,none
-12.7384976821854,17.2664312253864,PHBL,15,none
-12.7007290554961,16.6237220889692,PHBR,15,none
-11.5385546495344,16.3123705769444,PHCL,8,none
-11.6258637610579,17.0073913031527,PHCR,8,none
22.6481446182336,-19.6342522341955,SDQL,260,group2
22.6482786113132,-19.6344105560438,SDQR,260,group2
10.9844264408012,-18.9078135039512,URBL,210,group3
10.9843602562365,-18.9078368278863,URBR,210,group3
27.0184848298867,-19.5885018691029,DVA,280,group2
4.73092853238295,15.1851895554449,AUAL,95,none
4.73097870329378,15.1851940904598,AUAR,95,none
-2.76706603857833,3.75925636201022,AIAL,128,none
-2.77027156132625,3.75758839170476,AIAR,128,none
12.4009635202514,-4.77335578783292,AIBL,196,group3
12.4007493227881,-4.7733675041463,AIBR,196,group3
13.4584749769893,-3.60645738124177,AIYL,203,group3
13.4583354796424,-3.60651121554249,AIYR,203,group3
