Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"RMGR",40,0,40,21,0,21,18,0,18
"AVFL",0,0,0,0,0,0,0,0,0
"AVFR",0,0,0,0,0,0,0,0,0
"AVG",0,0,0,0,0,0,0,0,0
"AVHL",0,8,8,0,8,8,0,8,8
"AVHR",0,8,8,0,8,8,0,8,8
"AVJL",0,0,0,0,0,0,0,0,0
"AVJR",0,0,0,0,0,0,0,0,0
"AVKL",0,8,8,0,8,8,0,8,8
"AVKR",0,8,8,0,8,8,0,8,8
"AVL",0,0,0,0,0,0,0,0,0
"DVB",0,0,0,0,0,0,0,0,0
"DVC",40,0,40,40,0,40,37,0,37
"PVNL",0,8,8,0,8,8,0,8,8
"PVNR",0,8,8,0,8,8,0,8,8
"PVPL",0,0,0,0,0,0,0,0,0
"PVPR",0,0,0,0,0,0,0,0,0
"PVQL",0,60,60,0,60,60,0,60,60
"PVQR",0,60,60,0,60,60,0,60,60
"PVR",0,0,0,0,0,0,0,0,0
"PVT",0,0,0,0,0,0,0,0,0
"PVWL",0,0,0,0,0,0,0,0,0
"PVWR",0,0,0,0,0,0,0,0,0
"RID",0,0,0,0,0,0,0,0,0
"PVCL",0,0,0,0,0,0,0,0,0
"PVCR",0,0,0,0,0,0,0,0,0
"AVAL",40,0,40,38,0,38,34,0,34
"AVAR",40,0,40,38,0,38,34,0,34
"AVBL",0,0,0,0,0,0,0,0,0
"AVBR",0,0,0,0,0,0,0,0,0
"AVDL",0,0,0,0,0,0,0,0,0
"AVDR",0,0,0,0,0,0,0,0,0
"AVEL",0,0,0,0,0,0,0,0,0
"AVER",0,0,0,0,0,0,0,0,0
"LUAL",0,0,0,0,0,0,0,0,0
"LUAR",0,0,0,0,0,0,0,0,0
"SAADL",0,0,0,0,0,0,0,0,0
"SAADR",0,0,0,0,0,0,0,0,0
"SAAVL",0,0,0,0,0,0,0,0,0
"SAAVR",0,0,0,0,0,0,0,0,0
"SABD",0,0,0,0,0,0,0,0,0
"SABVL",0,0,0,0,0,0,0,0,0
"SABVR",0,0,0,0,0,0,0,0,0
"RIML",0,0,0,0,0,0,0,0,0
"RIMR",0,0,0,0,0,0,0,0,0
"IL1DL",0,0,0,0,0,0,0,0,0
"IL1DR",0,0,0,0,0,0,0,0,0
"IL1L",0,0,0,0,0,0,0,0,0
"IL1R",0,0,0,0,0,0,0,0,0
"IL1VL",0,0,0,0,0,0,0,0,0
"IL1VR",0,0,0,0,0,0,0,0,0
"SIADL",0,0,0,0,0,0,0,0,0
"SIADR",0,0,0,0,0,0,0,0,0
"SIAVL",0,0,0,0,0,0,0,0,0
"SIAVR",0,0,0,0,0,0,0,0,0
"SIBDL",0,0,0,0,0,0,0,0,0
"SIBDR",0,0,0,0,0,0,0,0,0
"SIBVL",0,0,0,0,0,0,0,0,0
"SIBVR",0,0,0,0,0,0,0,0,0
"RMDDL",0,0,0,0,0,0,0,0,0
"RMDDR",0,0,0,0,0,0,0,0,0
"RMDL",0,0,0,0,0,0,0,0,0
"RMDR",0,0,0,0,0,0,0,0,0
"RMDVL",0,0,0,0,0,0,0,0,0
"RMDVR",0,0,0,0,0,0,0,0,0
