Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"IL2DL",53,112,165,32,76,108,19,50,69
"IL2DR",53,112,165,32,76,108,19,50,69
"IL2L",52,17,69,31,17,48,18,15,33
"IL2R",52,17,69,31,17,48,18,15,33
"IL2VL",53,112,165,32,76,108,19,50,69
"IL2VR",53,112,165,32,76,108,19,50,69
"OLQDL",41,3,44,34,3,37,30,3,33
"OLQDR",41,3,44,34,3,37,30,3,33
"OLQVL",41,3,44,34,3,37,30,3,33
"OLQVR",41,3,44,34,3,37,30,3,33
"OLLL",18,130,148,17,91,108,12,69,81
"OLLR",18,130,148,17,91,108,12,69,81
"CEPDL",37,0,37,33,0,33,31,0,31
"CEPDR",37,0,37,33,0,33,31,0,31
"CEPVL",37,0,37,33,0,33,31,0,31
"CEPVR",37,0,37,33,0,33,31,0,31
"ALML",0,102,102,0,67,67,0,45,45
"ALMR",0,102,102,0,67,67,0,45,45
"AVM",83,37,120,81,37,118,77,35,112
"PVM",0,5,5,0,1,1,0,0,0
"PLML",0,32,32,0,17,17,0,8,8
"PLMR",0,32,32,0,17,17,0,8,8
"ALNL",0,106,106,0,81,81,0,49,49
"ALNR",0,106,106,0,81,81,0,49,49
"PLNL",0,15,15,0,15,15,0,15,15
"PLNR",0,15,15,0,15,15,0,15,15
"FLPL",100,26,126,63,24,87,57,22,79
"FLPR",100,26,126,63,24,87,57,22,79
"PVDL",59,98,157,34,60,94,24,46,70
"PVDR",59,98,157,34,60,94,24,46,70
"BAGL",138,26,164,80,25,105,59,25,84
"BAGR",138,26,164,80,25,105,59,25,84
"URXL",52,167,219,31,105,136,18,75,93
"URXR",52,167,219,31,105,136,18,75,93
"URYDL",90,37,127,43,35,78,20,35,55
"URYDR",90,37,127,43,35,78,20,35,55
"URYVL",90,37,127,43,35,78,20,35,55
"URYVR",90,37,127,43,35,78,20,35,55
"AQR",40,61,101,21,38,59,18,37,55
"PQR",70,111,181,38,49,87,31,42,73
"ADEL",0,3,3,0,3,3,0,3,3
"ADER",0,3,3,0,3,3,0,3,3
"PDEL",0,3,3,0,1,1,0,1,1
"PDER",0,3,3,0,1,1,0,1,1
"PHAL",0,103,103,0,12,12,0,9,9
"PHAR",0,103,103,0,12,12,0,9,9
"PHBL",15,15,30,7,6,13,6,6,12
"PHBR",15,15,30,7,6,13,6,6,12
"PHCL",72,15,87,20,6,26,17,6,23
"PHCR",72,15,87,20,6,26,17,6,23
"SDQL",131,4,135,131,2,133,58,2,60
"SDQR",131,4,135,131,2,133,58,2,60
"URBL",111,123,234,53,73,126,34,48,82
"URBR",111,123,234,53,73,126,34,48,82
"DVA",90,123,213,90,123,213,85,117,202
"AUAL",40,15,55,21,15,36,18,15,33
"AUAR",40,15,55,21,15,36,18,15,33
"AIAL",171,155,326,125,118,243,120,112,232
