Degree,Phi_norm,Phi,Phi_rand,Stdev
210.000000,0.978733,0.740210,0.756295,0.005605
211.000000,0.978733,0.740210,0.756295,0.005605
212.000000,0.982840,0.746521,0.759555,0.005626
213.000000,0.982840,0.746521,0.759555,0.005626
214.000000,0.982840,0.746521,0.759555,0.005626
215.000000,0.982840,0.746521,0.759555,0.005626
216.000000,0.982840,0.746521,0.759555,0.005626
217.000000,0.983943,0.753247,0.765539,0.006105
218.000000,0.982210,0.758910,0.772655,0.005845
219.000000,0.974854,0.759427,0.779016,0.005932
220.000000,0.973245,0.761176,0.782102,0.006021
221.000000,0.973245,0.761176,0.782102,0.006021
222.000000,0.973245,0.761176,0.782102,0.006021
223.000000,0.973245,0.761176,0.782102,0.006021
224.000000,0.973245,0.761176,0.782102,0.006021
225.000000,0.973245,0.761176,0.782102,0.006021
226.000000,0.953372,0.752126,0.788912,0.006276
227.000000,0.953372,0.752126,0.788912,0.006276
228.000000,0.956273,0.759309,0.794029,0.006237
229.000000,0.956273,0.759309,0.794029,0.006237
230.000000,0.956273,0.759309,0.794029,0.006237
231.000000,0.968671,0.775362,0.800440,0.006441
232.000000,0.968671,0.775362,0.800440,0.006441
233.000000,0.946827,0.763742,0.806633,0.006537
234.000000,0.955444,0.790385,0.827244,0.007598
235.000000,0.955444,0.790385,0.827244,0.007598
236.000000,0.955444,0.790385,0.827244,0.007598
237.000000,0.950594,0.810060,0.852162,0.008197
238.000000,0.941647,0.810924,0.861176,0.008464
239.000000,0.941647,0.810924,0.861176,0.008464
240.000000,0.941647,0.810924,0.861176,0.008464
241.000000,0.941647,0.810924,0.861176,0.008464
242.000000,0.941647,0.810924,0.861176,0.008464
243.000000,0.926511,0.805871,0.869792,0.008997
244.000000,0.926511,0.805871,0.869792,0.008997
245.000000,0.926511,0.805871,0.869792,0.008997
246.000000,0.926511,0.805871,0.869792,0.008997
247.000000,0.926511,0.805871,0.869792,0.008997
248.000000,0.926511,0.805871,0.869792,0.008997
249.000000,0.926511,0.805871,0.869792,0.008997
250.000000,0.926511,0.805871,0.869792,0.008997
251.000000,0.926511,0.805871,0.869792,0.008997
252.000000,0.926511,0.805871,0.869792,0.008997
253.000000,0.926511,0.805871,0.869792,0.008997
254.000000,0.926511,0.805871,0.869792,0.008997
255.000000,0.926511,0.805871,0.869792,0.008997
256.000000,0.926511,0.805871,0.869792,0.008997
257.000000,0.926511,0.805871,0.869792,0.008997
258.000000,0.926511,0.805871,0.869792,0.008997
259.000000,0.926511,0.805871,0.869792,0.008997
260.000000,0.926524,0.809476,0.873669,0.009617
261.000000,0.926524,0.809476,0.873669,0.009617
262.000000,0.926524,0.809476,0.873669,0.009617
263.000000,0.926524,0.809476,0.873669,0.009617
264.000000,0.926524,0.809476,0.873669,0.009617
265.000000,0.926524,0.809476,0.873669,0.009617
266.000000,0.925097,0.810753,0.876398,0.009525
267.000000,0.925097,0.810753,0.876398,0.009525
268.000000,0.925097,0.810753,0.876398,0.009525
269.000000,0.945541,0.834975,0.883067,0.010499
270.000000,0.945541,0.834975,0.883067,0.010499
271.000000,0.945541,0.834975,0.883067,0.010499
272.000000,0.945541,0.834975,0.883067,0.010499
273.000000,0.945541,0.834975,0.883067,0.010499
274.000000,0.945541,0.834975,0.883067,0.010499
275.000000,0.959748,0.851852,0.887578,0.011428
276.000000,0.959748,0.851852,0.887578,0.011428
277.000000,0.943625,0.843333,0.893717,0.011953
278.000000,0.943625,0.843333,0.893717,0.011953
279.000000,0.943625,0.843333,0.893717,0.011953
280.000000,0.943625,0.843333,0.893717,0.011953
281.000000,0.943625,0.843333,0.893717,0.011953
282.000000,0.943625,0.843333,0.893717,0.011953
283.000000,0.935978,0.838768,0.896141,0.012541
284.000000,0.935978,0.838768,0.896141,0.012541
285.000000,0.935978,0.838768,0.896141,0.012541
286.000000,0.935978,0.838768,0.896141,0.012541
287.000000,0.935978,0.838768,0.896141,0.012541
288.000000,0.935978,0.838768,0.896141,0.012541
289.000000,0.935978,0.838768,0.896141,0.012541
290.000000,0.998225,0.902632,0.904237,0.015017
291.000000,1.013774,0.921053,0.908538,0.016214
292.000000,1.006012,0.922794,0.917279,0.016287
293.000000,0.992798,0.919048,0.925714,0.017388
294.000000,0.992798,0.919048,0.925714,0.017388
295.000000,0.992798,0.919048,0.925714,0.017388
296.000000,0.992798,0.919048,0.925714,0.017388
297.000000,0.992798,0.919048,0.925714,0.017388
298.000000,0.992798,0.919048,0.925714,0.017388
299.000000,0.992798,0.919048,0.925714,0.017388
300.000000,0.989102,0.917582,0.927692,0.018393
301.000000,0.989102,0.917582,0.927692,0.018393
302.000000,0.989102,0.917582,0.927692,0.018393
303.000000,0.989102,0.917582,0.927692,0.018393
304.000000,0.996678,0.931818,0.934924,0.021213
305.000000,0.996678,0.931818,0.934924,0.021213
306.000000,0.996678,0.931818,0.934924,0.021213
307.000000,0.996678,0.931818,0.934924,0.021213
308.000000,0.996678,0.931818,0.934924,0.021213
309.000000,0.987893,0.927273,0.938636,0.021751
310.000000,0.987893,0.927273,0.938636,0.021751
311.000000,0.987893,0.927273,0.938636,0.021751
312.000000,0.987893,0.927273,0.938636,0.021751
313.000000,0.987893,0.927273,0.938636,0.021751
314.000000,0.987893,0.927273,0.938636,0.021751
315.000000,0.987893,0.927273,0.938636,0.021751
316.000000,0.987893,0.927273,0.938636,0.021751
317.000000,0.987893,0.927273,0.938636,0.021751
318.000000,0.987893,0.927273,0.938636,0.021751
319.000000,0.987893,0.927273,0.938636,0.021751
320.000000,0.987893,0.927273,0.938636,0.021751
321.000000,0.987893,0.927273,0.938636,0.021751
322.000000,0.987893,0.927273,0.938636,0.021751
323.000000,0.987893,0.927273,0.938636,0.021751
324.000000,0.987893,0.927273,0.938636,0.021751
325.000000,0.987893,0.927273,0.938636,0.021751
326.000000,0.987893,0.927273,0.938636,0.021751
327.000000,0.987893,0.927273,0.938636,0.021751
328.000000,0.987893,0.927273,0.938636,0.021751
329.000000,0.987893,0.927273,0.938636,0.021751
330.000000,0.987893,0.927273,0.938636,0.021751
331.000000,0.987893,0.927273,0.938636,0.021751
332.000000,0.987893,0.927273,0.938636,0.021751
333.000000,0.987893,0.927273,0.938636,0.021751
334.000000,0.987893,0.927273,0.938636,0.021751
335.000000,0.987893,0.927273,0.938636,0.021751
336.000000,0.987893,0.927273,0.938636,0.021751
337.000000,0.987893,0.927273,0.938636,0.021751
338.000000,0.987893,0.927273,0.938636,0.021751
339.000000,0.987893,0.927273,0.938636,0.021751
340.000000,0.987893,0.927273,0.938636,0.021751
341.000000,0.987893,0.927273,0.938636,0.021751
342.000000,0.994436,0.933333,0.938556,0.025536
343.000000,0.994436,0.933333,0.938556,0.025536
344.000000,0.994436,0.933333,0.938556,0.025536
345.000000,0.949487,0.892857,0.940357,0.030586
346.000000,0.949487,0.892857,0.940357,0.030586
347.000000,0.968188,0.933333,0.964000,0.032715
348.000000,0.968188,0.933333,0.964000,0.032715
349.000000,0.968188,0.933333,0.964000,0.032715
350.000000,0.968188,0.933333,0.964000,0.032715
351.000000,0.968188,0.933333,0.964000,0.032715
352.000000,0.968188,0.933333,0.964000,0.032715
353.000000,0.968188,0.933333,0.964000,0.032715
354.000000,0.968188,0.933333,0.964000,0.032715
355.000000,0.968188,0.933333,0.964000,0.032715
356.000000,0.968188,0.933333,0.964000,0.032715
357.000000,0.968188,0.933333,0.964000,0.032715
358.000000,0.968188,0.933333,0.964000,0.032715
359.000000,0.968188,0.933333,0.964000,0.032715
360.000000,0.968188,0.933333,0.964000,0.032715
361.000000,0.968188,0.933333,0.964000,0.032715
362.000000,0.968188,0.933333,0.964000,0.032715
363.000000,0.968188,0.933333,0.964000,0.032715
364.000000,0.968188,0.933333,0.964000,0.032715
365.000000,0.968188,0.933333,0.964000,0.032715
366.000000,0.968188,0.933333,0.964000,0.032715
367.000000,0.968188,0.933333,0.964000,0.032715
